t_idfrom,t_idto,t_num1,t_num2,t_num3,t_num4,t_num5
3004,2003,8,8,9,9,9
3004,2004,9,9,8,8,9
3004,2005,8,8,9,9,9
3004,3004,9,9,7,9,7
3004,3008,8,9,9,9,7
3005,3001,9,9,7,7,5
3005,3005,7,9,8,7,8
3006,3002,9,9,8,9,9
3006,3006,8,8,9,5,9
3007,3003,9,9,8,8,9
3007,3007,9,9,8,9,9
3008,3004,8,9,9,9,9
3008,3008,9,8,8,8,9
4001,1001,8,8,9,5,9
4001,1002,8,8,8,9,7
4001,1003,9,8,9,8,7
4001,1004,7,9,8,9,9
4001,1005,8,8,7,9,9
4001,1006,9,9,9,7,9
4001,1007,9,9,7,8,8
4001,2001,9,7,9,8,9
4001,2002,8,5,8,9,9
4001,2003,9,9,9,7,8
4001,2004,7,9,9,8,8
4001,3001,8,8,7,9,9
4001,3002,7,9,9,7,8
4001,3003,9,8,8,7,9
4001,3004,9,9,9,5,9
4001,3005,9,5,9,8,9
4002,1001,8,8,9,9,7
4002,1002,9,9,8,8,5
4002,1003,9,8,8,7,9
4002,1004,9,8,9,7,8
4002,1005,9,7,9,5,8
4002,1006,8,9,9,7,7
4002,1008,7,7,8,5,9
4002,2001,9,8,8,8,7
4002,2002,7,9,9,9,9
4002,2003,9,7,8,8,8
4002,2004,7,9,7,8,8
4002,3001,9,9,9,7,8
4002,3002,8,8,8,7,8
4002,3003,9,8,9,9,8
4002,3004,9,9,7,8,9
4002,3006,8,9,8,5,8
4003,1001,9,9,8,8,9
4003,1002,8,9,8,8,7
4003,1003,7,9,7,9,9
4003,1004,8,9,9,8,9
4003,1005,5,8,8,7,9
4003,1007,9,9,9,9,9
4003,2001,9,9,9,9,9
4003,2002,7,9,7,9,7
4003,2003,9,9,9,8,8
4003,2005,8,8,7,9,9
4003,3001,9,7,9,9,9
4003,3002,8,9,9,9,9
4003,3003,7,8,7,8,7
4003,3004,9,8,7,9,9
4003,3007,7,7,9,9,9
4004,1001,9,9,8,9,9
4004,1002,9,8,9,8,9
4004,1003,5,7,8,7,9
4004,1004,7,9,9,7,8
4004,1005,9,9,9,8,9
4004,1008,8,7,9,7,9
4004,2001,9,9,8,9,9
4004,2002,9,7,9,8,5
4004,2003,5,8,9,7,9
4004,2005,9,8,9,8,9
4004,3001,9,9,9,9,9
4004,3002,9,8,8,7,9
4004,3003,7,9,9,8,9
4004,3004,9,9,9,7,9
4004,3008,8,8,9,7,9
5001,3001,9,9,9,9,9
5001,3005,8,7,7,9,9
5002,3001,9,9,9,9,9
5002,3005,9,9,7,9,9
5003,3002,9,9,9,9,7
5003,3006,8,9,9,7,8
5004,3002,5,9,9,7,9
5004,3006,8,8,8,8,7
5005,3003,8,9,7,7,7
5005,3007,9,9,9,9,8
5006,3003,8,8,9,9,9
5006,3007,9,7,7,9,7
5007,3004,9,7,8,8,7
5007,3008,8,9,9,9,8
5008,3004,9,9,7,9,7
5008,3008,9,8,9,8,9
5009,1001,8,8,8,9,8
5009,1006,8,9,9,8,9
5010,1002,9,9,8,8,9
5010,1007,7,9,8,9,9
5011,1003,9,8,9,7,8
5011,1008,8,7,9,9,9
5012,2001,9,8,8,8,8
5012,2004,7,9,9,7,9
5013,2002,9,9,8,8,9
5013,2005,7,7,9,9,9
