bumen_id,t_id,num1,num2,num3,num4
8,3003,23.9,6.3,22.8,14.8
11,3003,15.0,21.4,7.5,4.2
1,3004,6.3,3.8,24.9,4.9
2,3004,21.1,12.5,8.5,4.8
3,3004,12.4,5.2,11.5,20.6
4,3004,22.7,2.5,5.4,18.0
5,3004,1.7,5.3,16.4,3.8
6,3004,6.3,22.4,20.5,8.4
7,3004,21.8,19.5,11.2,22.5
8,3004,19.7,9.0,22.7,2.3
12,3004,6.5,5.6,17.9,7.0
9,3005,19.7,7.8,12.2,12.6
10,3006,22.8,5.6,22.3,6.1
11,3007,21.3,9.0,18.6,10.0
12,3008,7.0,2.0,10.0,20.0
1,4001,13.7,9.2,22.5,23.8
2,4001,16.0,21.2,10.1,2.9
3,4001,2.7,4.6,3.3,23.6
4,4001,23.8,21.5,21.7,19.4
5,4001,7.8,4.5,16.5,18.5
6,4001,3.7,10.0,1.7,1.6
7,4001,23.3,7.1,19.5,13.4
8,4001,17.3,19.4,8.6,19.2
9,4001,7.4,4.3,21.2,6.5
10,4001,15.0,10.5,16.1,8.9
11,4001,16.1,3.1,16.0,23.7
12,4001,13.9,20.6,10.3,17.3
1,4002,20.1,18.0,5.7,5.0
2,4002,4.9,19.0,8.6,8.4
3,4002,5.6,7.7,8.7,8.3
4,4002,21.0,21.9,10.4,19.1
5,4002,6.5,22.8,9.4,12.2
6,4002,1.6,11.4,13.7,3.7
7,4002,11.6,10.5,1.4,20.9
8,4002,1.2,15.1,4.1,16.3
9,4002,5.8,4.5,24.6,17.0
10,4002,21.2,22.7,5.1,20.6
11,4002,2.9,24.7,23.8,3.0
12,4002,21.8,8.6,19.6,16.8
1,4003,17.3,7.7,2.9,14.6
2,4003,24.1,16.6,14.0,23.0
3,4003,4.1,19.1,24.2,8.1
4,4003,22.8,17.5,5.3,8.7
5,4003,23.4,21.0,9.4,4.2
6,4003,19.2,15.5,7.1,4.9
7,4003,20.6,12.5,8.2,6.3
8,4003,11.4,20.7,1.6,4.1
9,4003,3.1,4.9,15.6,6.8
10,4003,12.9,16.2,5.4,6.2
11,4003,4.5,16.7,4.0,13.8
12,4003,19.3,21.9,24.4,3.8
1,4004,9.0,19.7,21.6,9.5
2,4004,5.3,21.5,9.2,16.1
3,4004,13.3,12.9,13.3,6.3
4,4004,10.8,6.3,12.9,10.0
5,4004,20.0,11.7,15.3,13.3
6,4004,20.3,13.9,1.9,15.4
7,4004,16.6,19.2,5.7,24.2
8,4004,17.0,9.7,22.1,3.2
9,4004,7.7,17.9,12.3,24.5
10,4004,10.1,22.8,15.5,12.6
11,4004,9.6,6.7,5.7,1.6
12,4004,16.3,7.1,24.5,16.4
9,5001,20.2,7.0,14.0,23.4
9,5002,16.2,14.2,1.5,6.4
10,5003,3.6,3.8,8.4,10.6
10,5004,21.1,11.9,10.3,13.4
11,5005,13.8,21.0,17.9,5.1
11,5006,9.5,18.2,6.0,3.8
12,5007,22.0,13.8,23.6,7.9
12,5008,5.4,24.7,3.6,20.1
1,5009,19.3,23.8,14.9,16.5
2,5010,11.9,23.9,19.6,11.7
3,5011,13.5,1.1,16.0,22.6
6,5012,21.4,9.4,15.8,1.8
7,5013,7.2,17.1,14.8,15.8
